Title,Year,Rating,Cast,Genre
House on Haunted Hill,1959,89%,"Vincent Price, Carol Ohmart, Richard Long, Alan Marshal",Horror
Poltergeist,1982,87%,"Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne",Horror
The Girl With All the Gifts,2016,85%,"Gemma Arterton, Glenn Close, Paddy Considine, Anamaria Marinca",Horror
The Thing,1982,83%,"Kurt Russell, A. Wilford Brimley, T.K. Carter, Richard Dysart",Horror
Dead Alive,1992,89%,"Timothy Balme, Diana Peñalver, Elizabeth Moody, Ian Watkin",Horror
Freaks,2018,88%,"Emile Hirsch, Bruce Dern, Lexy Kolker, Amanda Crew",Horror
The Tenant,1976,88%,"Roman Polanski, Isabelle Adjani, Melvyn Douglas, Shelley Winters",Horror
The Descent,2005,86%,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder",Horror
Better Watch Out,2016,89%,"Levi Miller, Olivia DeJonge, Ed Oxenbould, Dacre Montgomery",Horror
An American Werewolf in London,1981,89%,"David Naughton, Jenny Agutter, Griffin Dunne, John Woodvine",Horror
Doctor Sleep,2019,78%,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis",Horror
The Omen,1976,86%,"Gregory Peck, Lee Remick, David Warner, Billie Whitelaw",Horror
Creepy,2016,90%,"Hidetoshi Nishijima, Yuko Takeuchi, Masahiro Higashide, Teruyuki Kagawa",Horror
Come to Daddy,2019,86%,"Elijah Wood, Stephen McHattie, Martin Donovan, Michael Smiley",Horror
Crawl,2019,84%,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson",Horror
The Exorcist,1973,84%,"Ellen Burstyn, Linda Blair, Max von Sydow, Lee J. Cobb",Horror
The Invitation,2015,89%,"Logan Marshall-Green, Tammy Blanchard, Michiel Huisman, Emayatzy Corinealdi",Horror
Hounds of Love,2016,88%,"Emma Booth, Ashleigh Cummings, Stephen Curry, Susie Porter",Horror
1922,2017,91%,"Thomas Jane, Neal McDonough, Molly Parker, Brian d'Arcy James",Horror
The Abominable Dr. Phibes,1971,88%,"Vincent Price, Joseph Cotten, Terry-Thomas, Hugh Griffith",Horror
Martin,1978,91%,"John Amplas, Lincoln Maazel, Christine Forrest, Elyane Nadeau",Horror
House,1977,91%,"Kimiko Ikegami, Ai Matsubara, Miki Jinbo, Eriko Tanaka",Horror
Henry: Portrait of a Serial Killer,1986,89%,"Michael Rooker, Tracy Arnold, Tom Towles, Anne Bartoletti",Horror
Rare Exports: A Christmas Tale,2010,90%,"Onni Tommila, Jorma Tommila, Ilmari Järvenpää, Peeter Jakobi",Horror
Candyman,2021,84%,"Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett, Colman Domingo",Horror
The Orphanage,2007,87%,"Belén Rueda, Fernando Cayo, Geraldine Chaplin, Montserrat Carulla",Horror
The Dead Zone,1983,90%,"Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom",Horror
Bone Tomahawk,2015,91%,"Kurt Russell, Patrick Wilson, Richard Jenkins, Matthew Fox",Horror
Duel,1971,88%,"Dennis Weaver, Tim Herbert, Charles Seel, Eddie Firestone",Horror
House of Usher,1960,86%,"Vincent Price, Myrna Fahey, Mark Damon, Harry Ellerbe",Horror
